,key,year,state,Asian,Black,Hispanic,Native,Other,White
0,2015AK,2015,AK,0,0,0,2,0,2
1,2015AL,2015,AL,0,6,0,0,0,11
2,2015AR,2015,AR,0,1,0,0,0,3
3,2015AZ,2015,AZ,0,1,12,2,0,27
4,2015CA,2015,CA,8,34,76,0,7,57
5,2015CO,2015,CO,2,5,9,1,0,11
6,2015CT,2015,CT,0,0,0,0,0,2
7,2015DC,2015,DC,0,4,0,0,0,0
8,2015DE,2015,DE,0,1,0,0,0,2
9,2015FL,2015,FL,0,26,9,0,1,25
10,2015GA,2015,GA,0,10,0,0,0,17
11,2015HI,2015,HI,0,1,0,0,1,0
12,2015IA,2015,IA,0,0,0,0,0,5
13,2015ID,2015,ID,0,0,1,0,0,6
14,2015IL,2015,IL,0,13,3,0,0,5
15,2015IN,2015,IN,0,6,1,0,0,11
16,2015KS,2015,KS,0,0,2,0,0,7
17,2015KY,2015,KY,0,4,1,0,0,10
18,2015LA,2015,LA,1,14,0,0,0,11
19,2015MA,2015,MA,0,2,2,0,0,5
20,2015MD,2015,MD,0,12,0,0,0,3
21,2015ME,2015,ME,0,0,0,0,0,2
22,2015MI,2015,MI,0,6,0,0,0,10
23,2015MN,2015,MN,0,3,0,0,1,8
24,2015MO,2015,MO,0,8,0,0,0,13
25,2015MS,2015,MS,0,1,0,0,0,7
26,2015MT,2015,MT,0,0,0,0,0,4
27,2015NC,2015,NC,0,7,0,0,0,15
28,2015ND,2015,ND,0,0,0,1,0,0
29,2015NE,2015,NE,0,1,0,0,0,7
30,2015NH,2015,NH,0,0,0,0,0,3
31,2015NJ,2015,NJ,0,4,3,0,0,7
32,2015NM,2015,NM,0,0,11,0,0,9
33,2015NV,2015,NV,0,3,3,0,0,11
34,2015NY,2015,NY,1,8,0,0,0,9
35,2015OH,2015,OH,0,13,0,0,1,14
36,2015OK,2015,OK,0,9,1,0,0,20
37,2015OR,2015,OR,0,1,0,0,0,13
38,2015PA,2015,PA,0,8,1,0,0,8
39,2015RI,2015,RI,0,0,0,0,0,0
40,2015SC,2015,SC,0,9,0,0,0,10
41,2015SD,2015,SD,0,0,0,1,0,2
42,2015TN,2015,TN,0,4,1,0,1,13
43,2015TX,2015,TX,1,19,32,0,1,46
44,2015UT,2015,UT,0,0,0,0,1,9
45,2015VA,2015,VA,0,10,1,0,0,7
46,2015VT,2015,VT,0,0,0,0,0,1
47,2015WA,2015,WA,1,0,1,1,1,12
48,2015WI,2015,WI,0,2,2,0,0,7
49,2015WV,2015,WV,0,2,0,0,0,6
50,2015WY,2015,WY,0,0,0,1,0,4
51,2016AK,2016,AK,0,0,0,3,0,3
52,2016AL,2016,AL,0,6,0,0,0,17
53,2016AR,2016,AR,0,2,0,0,0,10
54,2016AZ,2016,AZ,0,2,17,6,0,20
55,2016CA,2016,CA,5,21,58,0,0,43
