,key,year,state,recorded,unrecorded
0,2015AK,2015,AK,0,4
1,2015AL,2015,AL,3,14
2,2015AR,2015,AR,0,4
3,2015AZ,2015,AZ,2,40
4,2015CA,2015,CA,21,161
5,2015CO,2015,CO,1,27
6,2015CT,2015,CT,0,2
7,2015DC,2015,DC,0,4
8,2015DE,2015,DE,1,2
9,2015FL,2015,FL,2,59
10,2015GA,2015,GA,3,24
11,2015HI,2015,HI,0,2
12,2015IA,2015,IA,1,4
13,2015ID,2015,ID,3,4
14,2015IL,2015,IL,1,20
15,2015IN,2015,IN,1,17
16,2015KS,2015,KS,0,9
17,2015KY,2015,KY,0,15
18,2015LA,2015,LA,4,22
19,2015MA,2015,MA,0,9
20,2015MD,2015,MD,0,15
21,2015ME,2015,ME,0,2
22,2015MI,2015,MI,1,15
23,2015MN,2015,MN,0,12
24,2015MO,2015,MO,2,19
25,2015MS,2015,MS,1,7
26,2015MT,2015,MT,0,4
27,2015NC,2015,NC,1,21
28,2015ND,2015,ND,0,1
29,2015NE,2015,NE,0,8
30,2015NH,2015,NH,1,2
31,2015NJ,2015,NJ,0,14
32,2015NM,2015,NM,3,17
33,2015NV,2015,NV,4,13
34,2015NY,2015,NY,0,18
35,2015OH,2015,OH,2,26
36,2015OK,2015,OK,3,27
37,2015OR,2015,OR,0,14
38,2015PA,2015,PA,0,17
39,2015RI,2015,RI,0,0
40,2015SC,2015,SC,0,19
41,2015SD,2015,SD,0,3
42,2015TN,2015,TN,0,19
43,2015TX,2015,TX,3,96
44,2015UT,2015,UT,5,5
45,2015VA,2015,VA,4,14
46,2015VT,2015,VT,1,0
47,2015WA,2015,WA,0,16
48,2015WI,2015,WI,0,11
49,2015WV,2015,WV,0,8
50,2015WY,2015,WY,0,5
51,2016AK,2016,AK,0,6
52,2016AL,2016,AL,8,15
53,2016AR,2016,AR,1,11
54,2016AZ,2016,AZ,12,33
55,2016CA,2016,CA,23,104
56,2016CO,2016,CO,3,24
57,2016CT,2016,CT,0,4
58,2016DC,2016,DC,2,3
59,2016DE,2016,DE,0,1
60,2016FL,2016,FL,3,52
61,2016GA,2016,GA,2,23
62,2016HI,2016,HI,0,6
63,2016IA,2016,IA,1,4
64,2016ID,2016,ID,2,4
65,2016IL,2016,IL,1,25
66,2016IN,2016,IN,5,8
67,2016KS,2016,KS,2,8
68,2016KY,2016,KY,1,17
69,2016LA,2016,LA,3,15
70,2016MA,2016,MA,0,12
71,2016MD,2016,MD,1,13
72,2016ME,2016,ME,0,2
73,2016MI,2016,MI,3,9
74,2016MN,2016,MN,4,10
75,2016MO,2016,MO,0,19
76,2016MS,2016,MS,0,8
77,2016MT,2016,MT,1,4
78,2016NC,2016,NC,7,25
79,2016ND,2016,ND,0,1
80,2016NE,2016,NE,1,6
81,2016NH,2016,NH,0,2
82,2016NJ,2016,NJ,1,10
83,2016NM,2016,NM,6,14
84,2016NV,2016,NV,2,11
85,2016NY,2016,NY,0,17
