,key,year,state,total_case,unarmed_case
0,2015AK,2015,AK,4,0
1,2015AL,2015,AL,17,2
2,2015AR,2015,AR,4,1
3,2015AZ,2015,AZ,42,3
4,2015CA,2015,CA,182,22
5,2015CO,2015,CO,28,1
6,2015CT,2015,CT,2,0
7,2015DC,2015,DC,4,1
8,2015DE,2015,DE,3,0
9,2015FL,2015,FL,61,8
10,2015GA,2015,GA,27,3
11,2015HI,2015,HI,2,0
12,2015IA,2015,IA,5,2
13,2015ID,2015,ID,7,0
14,2015IL,2015,IL,21,2
15,2015IN,2015,IN,18,3
16,2015KS,2015,KS,9,1
17,2015KY,2015,KY,15,0
18,2015LA,2015,LA,26,2
19,2015MA,2015,MA,9,0
20,2015MD,2015,MD,15,3
21,2015ME,2015,ME,2,0
22,2015MI,2015,MI,16,2
23,2015MN,2015,MN,12,3
24,2015MO,2015,MO,21,2
25,2015MS,2015,MS,8,1
26,2015MT,2015,MT,4,0
27,2015NC,2015,NC,22,0
28,2015ND,2015,ND,1,0
29,2015NE,2015,NE,8,1
30,2015NH,2015,NH,3,0
31,2015NJ,2015,NJ,14,0
32,2015NM,2015,NM,20,1
33,2015NV,2015,NV,17,1
34,2015NY,2015,NY,18,3
35,2015OH,2015,OH,28,5
36,2015OK,2015,OK,30,4
37,2015OR,2015,OR,14,0
38,2015PA,2015,PA,17,2
39,2015RI,2015,RI,0,0
40,2015SC,2015,SC,19,1
41,2015SD,2015,SD,3,0
42,2015TN,2015,TN,19,1
43,2015TX,2015,TX,99,6
44,2015UT,2015,UT,10,0
45,2015VA,2015,VA,18,3
46,2015VT,2015,VT,1,0
47,2015WA,2015,WA,16,3
48,2015WI,2015,WI,11,1
49,2015WV,2015,WV,8,0
50,2015WY,2015,WY,5,0
51,2016AK,2016,AK,6,0
52,2016AL,2016,AL,23,0
53,2016AR,2016,AR,12,0
54,2016AZ,2016,AZ,45,4
55,2016CA,2016,CA,127,9
56,2016CO,2016,CO,27,1
