,key,year,state_abbr,state,total_case,unarmed_case
0,2015AK,2015,AK,Alaska,4,0
1,2015AL,2015,AL,Alabama,17,2
2,2015AR,2015,AR,Arkansas,4,1
3,2015AZ,2015,AZ,Arizona,42,3
4,2015CA,2015,CA,California,182,22
5,2015CO,2015,CO,Colorado,28,1
6,2015CT,2015,CT,Connecticut,2,0
7,2015DC,2015,DC,District of Columbia,4,1
8,2015DE,2015,DE,Delaware,3,0
9,2015FL,2015,FL,Florida,61,8
10,2015GA,2015,GA,Georgia,27,3
11,2015HI,2015,HI,Hawaii,2,0
12,2015IA,2015,IA,Iowa,5,2
13,2015ID,2015,ID,Idaho,7,0
14,2015IL,2015,IL,Illinois,21,2
15,2015IN,2015,IN,Indiana,18,3
16,2015KS,2015,KS,Kansas,9,1
17,2015KY,2015,KY,Kentucky,15,0
18,2015LA,2015,LA,Louisiana,26,2
19,2015MA,2015,MA,Massachusetts,9,0
20,2015MD,2015,MD,Maryland,15,3
21,2015ME,2015,ME,Maine,2,0
22,2015MI,2015,MI,Michigan,16,2
23,2015MN,2015,MN,Minnesota,12,3
24,2015MO,2015,MO,Missouri,21,2
25,2015MS,2015,MS,Mississippi,8,1
26,2015MT,2015,MT,Montana,4,0
27,2015NC,2015,NC,North Carolina,22,0
28,2015ND,2015,ND,North Dakota,1,0
29,2015NE,2015,NE,Nebraska,8,1
30,2015NH,2015,NH,New Hampshire,3,0
31,2015NJ,2015,NJ,New Jersey,14,0
32,2015NM,2015,NM,New Mexico,20,1
33,2015NV,2015,NV,Nevada,17,1
34,2015NY,2015,NY,New York,18,3
35,2015OH,2015,OH,Ohio,28,5
36,2015OK,2015,OK,Oklahoma,30,4
37,2015OR,2015,OR,Oregon,14,0
38,2015PA,2015,PA,Pennsylvania,17,2
39,2015RI,2015,RI,Rhode Island,0,0
40,2015SC,2015,SC,South Carolina,19,1
41,2015SD,2015,SD,South Dakota,3,0
42,2015TN,2015,TN,Tennessee,19,1
43,2015TX,2015,TX,Texas,99,6
44,2015UT,2015,UT,Utah,10,0
45,2015VA,2015,VA,Virginia,18,3
46,2015VT,2015,VT,Vermont,1,0
47,2015WA,2015,WA,Washington,16,3
48,2015WI,2015,WI,Wisconsin,11,1
49,2015WV,2015,WV,West Virginia,8,0
50,2015WY,2015,WY,Wyoming,5,0
51,2016AK,2016,AK,Alaska,6,0
52,2016AL,2016,AL,Alabama,23,0
53,2016AR,2016,AR,Arkansas,12,0
54,2016AZ,2016,AZ,Arizona,45,4
55,2016CA,2016,CA,California,127,9
56,2016CO,2016,CO,Colorado,27,1
57,2016CT,2016,CT,Connecticut,4,0
58,2016DC,2016,DC,District of Columbia,5,0
59,2016DE,2016,DE,Delaware,1,0
60,2016FL,2016,FL,Florida,55,3
61,2016GA,2016,GA,Georgia,25,3
62,2016HI,2016,HI,Hawaii,6,0
63,2016IA,2016,IA,Iowa,5,0
64,2016ID,2016,ID,Idaho,6,0
65,2016IL,2016,IL,Illinois,26,0
66,2016IN,2016,IN,Indiana,13,1
67,2016KS,2016,KS,Kansas,10,2
68,2016KY,2016,KY,Kentucky,18,1
69,2016LA,2016,LA,Louisiana,18,0
70,2016MA,2016,MA,Massachusetts,12,0
71,2016MD,2016,MD,Maryland,14,1
72,2016ME,2016,ME,Maine,2,0
73,2016MI,2016,MI,Michigan,12,0
74,2016MN,2016,MN,Minnesota,14,1
75,2016MO,2016,MO,Missouri,19,0
76,2016MS,2016,MS,Mississippi,8,2
77,2016MT,2016,MT,Montana,5,0
78,2016NC,2016,NC,North Carolina,32,2
79,2016ND,2016,ND,North Dakota,1,1
80,2016NE,2016,NE,Nebraska,7,1
81,2016NH,2016,NH,New Hampshire,2,0
82,2016NJ,2016,NJ,New Jersey,11,0
83,2016NM,2016,NM,New Mexico,20,0
84,2016NV,2016,NV,Nevada,13,1
