,key,year,state_abbr,state,ethnicity,percentage
0,2015AK,2015,AK,Alaska,Black,N/A
1,2015AK,2015,AK,Alaska,White,0.0
2,2015AK,2015,AK,Alaska,Asian,N/A
3,2015AK,2015,AK,Alaska,Hispanic,N/A
4,2015AK,2015,AK,Alaska,Native,0.0
5,2015AK,2015,AK,Alaska,Other,N/A
6,2015AL,2015,AL,Alabama,Black,0.16666666666666666
7,2015AL,2015,AL,Alabama,White,0.09090909090909091
8,2015AL,2015,AL,Alabama,Asian,N/A
9,2015AL,2015,AL,Alabama,Hispanic,N/A
10,2015AL,2015,AL,Alabama,Native,N/A
11,2015AL,2015,AL,Alabama,Other,N/A
12,2015AR,2015,AR,Arkansas,Black,1.0
13,2015AR,2015,AR,Arkansas,White,0.0
14,2015AR,2015,AR,Arkansas,Asian,N/A
15,2015AR,2015,AR,Arkansas,Hispanic,N/A
16,2015AR,2015,AR,Arkansas,Native,N/A
17,2015AR,2015,AR,Arkansas,Other,N/A
18,2015AZ,2015,AZ,Arizona,Black,0.0
19,2015AZ,2015,AZ,Arizona,White,0.07407407407407407
20,2015AZ,2015,AZ,Arizona,Asian,N/A
21,2015AZ,2015,AZ,Arizona,Hispanic,0.08333333333333333
22,2015AZ,2015,AZ,Arizona,Native,0.0
23,2015AZ,2015,AZ,Arizona,Other,N/A
24,2015CA,2015,CA,California,Black,0.14705882352941177
25,2015CA,2015,CA,California,White,0.08771929824561403
26,2015CA,2015,CA,California,Asian,0.0
27,2015CA,2015,CA,California,Hispanic,0.13157894736842105
28,2015CA,2015,CA,California,Native,N/A
29,2015CA,2015,CA,California,Other,0.2857142857142857
30,2015CO,2015,CO,Colorado,Black,0.2
31,2015CO,2015,CO,Colorado,White,0.0
32,2015CO,2015,CO,Colorado,Asian,0.0
33,2015CO,2015,CO,Colorado,Hispanic,0.0
34,2015CO,2015,CO,Colorado,Native,0.0
35,2015CO,2015,CO,Colorado,Other,N/A
36,2015CT,2015,CT,Connecticut,Black,N/A
37,2015CT,2015,CT,Connecticut,White,0.0
38,2015CT,2015,CT,Connecticut,Asian,N/A
39,2015CT,2015,CT,Connecticut,Hispanic,N/A
40,2015CT,2015,CT,Connecticut,Native,N/A
41,2015CT,2015,CT,Connecticut,Other,N/A
42,2015DC,2015,DC,District of Columbia,Black,0.25
43,2015DC,2015,DC,District of Columbia,White,N/A
44,2015DC,2015,DC,District of Columbia,Asian,N/A
45,2015DC,2015,DC,District of Columbia,Hispanic,N/A
46,2015DC,2015,DC,District of Columbia,Native,N/A
47,2015DC,2015,DC,District of Columbia,Other,N/A
