manner_of_death,armed,age,gender,race,city,state,flee,body_camera,arms_category,year
shot,gun,53,M,Asian,Shelton,WA,Not fleeing,FALSE,Guns,2015
shot,gun,47,M,White,Aloha,OR,Not fleeing,FALSE,Guns,2015
shot and Tasered,unarmed,23,M,Hispanic,Wichita,KS,Not fleeing,FALSE,Unarmed,2015
shot,toy weapon,32,M,White,San Francisco,CA,Not fleeing,FALSE,Other unusual objects,2015
shot,nail gun,39,M,Hispanic,Evans,CO,Not fleeing,FALSE,Piercing objects,2015
shot,gun,18,M,White,Guthrie,OK,Not fleeing,FALSE,Guns,2015
shot,gun,22,M,Hispanic,Chandler,AZ,Car,FALSE,Guns,2015
shot,gun,35,M,White,Assaria,KS,Not fleeing,FALSE,Guns,2015
shot,unarmed,34,F,White,Burlington,IA,Not fleeing,TRUE,Unarmed,2015
shot,toy weapon,47,M,Black,Knoxville,PA,Not fleeing,FALSE,Other unusual objects,2015
shot and Tasered,knife,25,M,White,Stockton,CA,Not fleeing,FALSE,Sharp objects,2015
shot,gun,31,M,Black,Freeport,TX,Not fleeing,FALSE,Guns,2015
shot,knife,41,M,Black,Columbus,OH,Not fleeing,FALSE,Sharp objects,2015
shot,gun,30,M,White,Des Moines,IA,Car,FALSE,Guns,2015
shot,gun,37,M,Black,New Orleans,LA,Foot,TRUE,Guns,2015
shot,unknown,28,M,White,Huntley,MT,Not fleeing,FALSE,Unknown,2015
shot,shovel,42,M,White,Salt Lake City,UT,Not fleeing,TRUE,Blunt instruments,2015
shot,unarmed,36,M,Black,Strong,AR,Not fleeing,FALSE,Unarmed,2015
shot,gun,49,M,White,Syracuse,UT,Not fleeing,TRUE,Guns,2015
shot,gun,71,M,White,England,AR,Not fleeing,FALSE,Guns,2015
shot,gun,33,M,Hispanic,El Paso,TX,Not fleeing,FALSE,Guns,2015
shot,gun,39,M,White,Arcola,IL,Not fleeing,FALSE,Guns,2015
shot,gun,23,M,Hispanic,South Gate,CA,Not fleeing,FALSE,Guns,2015
shot and Tasered,gun,29,M,Hispanic,North Las Vegas,NV,Foot,FALSE,Guns,2015
shot,gun,34,M,White,Albuquerque,NM,Foot,TRUE,Guns,2015
shot,knife,43,M,White,Jourdanton,TX,Not fleeing,FALSE,Sharp objects,2015
shot,unknown,24,M,Black,St. Paul,MN,Not fleeing,FALSE,Unknown,2015
shot,unknown,29,M,White,Franklin County,MO,Not fleeing,FALSE,Unknown,2015
shot,gun,34,M,Black,Chesapeake,VA,Not fleeing,FALSE,Guns,2015
shot,knife,75,M,White,Old Bridge,NJ,Not fleeing,FALSE,Sharp objects,2015
shot,gun,68,M,White,Lake Jackson,TX,Not fleeing,FALSE,Guns,2015
shot,knife,34,M,White,Draper,UT,Not fleeing,TRUE,Sharp objects,2015
shot,gun,27,M,Black,Indianapolis,IN,Foot,FALSE,Guns,2015
shot,gun,39,M,Black,Aurora,CO,Not fleeing,FALSE,Guns,2015
shot,gun,24,M,White,Bloomington,MN,Not fleeing,FALSE,Guns,2015
shot,knife,36,M,Hispanic,Fairfield,CA,Not fleeing,FALSE,Sharp objects,2015
shot,gun,33,M,White,Evangeline Parish,LA,Not fleeing,FALSE,Guns,2015
shot,gun,41,M,White,Mabank,TX,Car,FALSE,Guns,2015
