,key,year,state,Asian_proportion,Black_proportion,Hispanic_proportion,Native_proportion,Other_proportion,White_proportion
0,2015AK,2015,AK,N/A,N/A,N/A,0.0,N/A,0.0
1,2015AL,2015,AL,N/A,0.16666666666666666,N/A,N/A,N/A,0.09090909090909091
2,2015AR,2015,AR,N/A,1.0,N/A,N/A,N/A,0.0
3,2015AZ,2015,AZ,N/A,0.0,0.08333333333333333,0.0,N/A,0.07407407407407407
4,2015CA,2015,CA,0.0,0.14705882352941177,0.13157894736842105,N/A,0.2857142857142857,0.08771929824561403
5,2015CO,2015,CO,0.0,0.2,0.0,0.0,N/A,0.0
6,2015CT,2015,CT,N/A,N/A,N/A,N/A,N/A,0.0
7,2015DC,2015,DC,N/A,0.25,N/A,N/A,N/A,N/A
8,2015DE,2015,DE,N/A,0.0,N/A,N/A,N/A,0.0
9,2015FL,2015,FL,N/A,0.23076923076923078,0.0,N/A,1.0,0.04
10,2015GA,2015,GA,N/A,0.1,N/A,N/A,N/A,0.11764705882352941
11,2015HI,2015,HI,N/A,0.0,N/A,N/A,0.0,N/A
12,2015IA,2015,IA,N/A,N/A,N/A,N/A,N/A,0.4
13,2015ID,2015,ID,N/A,N/A,0.0,N/A,N/A,0.0
14,2015IL,2015,IL,N/A,0.07692307692307693,0.3333333333333333,N/A,N/A,0.0
15,2015IN,2015,IN,N/A,0.0,0.0,N/A,N/A,0.2727272727272727
16,2015KS,2015,KS,N/A,N/A,0.5,N/A,N/A,0.0
17,2015KY,2015,KY,N/A,0.0,0.0,N/A,N/A,0.0
18,2015LA,2015,LA,0.0,0.07142857142857142,N/A,N/A,N/A,0.09090909090909091
19,2015MA,2015,MA,N/A,0.0,0.0,N/A,N/A,0.0
20,2015MD,2015,MD,N/A,0.25,N/A,N/A,N/A,0.0
21,2015ME,2015,ME,N/A,N/A,N/A,N/A,N/A,0.0
22,2015MI,2015,MI,N/A,0.16666666666666666,N/A,N/A,N/A,0.1
23,2015MN,2015,MN,N/A,0.3333333333333333,N/A,N/A,0.0,0.25
24,2015MO,2015,MO,N/A,0.125,N/A,N/A,N/A,0.07692307692307693
